Id,SalePrice
1461,122182.38
1462,161391.23
1463,190707.98
1464,189424.5
1465,182626.62
1466,180142.14
1467,176017.98
1468,167598.02
1469,179510.52
1470,123221.734
1471,204049.33
1472,96942.88
1473,96043.19
1474,150570.95
1475,121076.04
1476,368721.78
1477,245421.92
1478,279277.94
1479,277292.25
1480,535346.3
1481,309429.53
1482,201090.0
1483,161895.78
1484,161912.92
1485,177310.22
1486,193658.6
1487,309443.38
1488,229103.98
1489,201737.5
1490,204466.0
1491,186380.34
1492,90410.1
1493,191439.27
1494,299738.66
1495,293760.72
1496,238219.55
1497,176793.22
1498,161529.66
1499,158823.05
1500,148510.1
1501,172099.02
1502,142246.31
1503,281107.28
1504,244352.98
1505,222486.38
1506,181167.4
1507,244826.05
1508,203051.0
1509,163814.14
1510,150278.02
1511,146513.75
1512,164021.42
1513,145102.22
1514,170556.94
1515,197399.42
1516,154911.5
1517,159883.48
1518,135991.78
1519,223145.11
1520,140300.86
1521,141588.95
1522,173242.98
1523,116288.32
1524,121394.68
1525,126301.19
1526,121714.625
1527,101555.76
1528,135000.28
1529,152807.69
1530,162859.28
1531,119208.02
1532,96225.266
1533,137665.02
1534,123438.5
1535,144276.39
1536,107223.34
1537,80768.11
1538,151576.45
1539,192752.03
1540,103279.34
1541,135708.69
1542,143220.8
1543,213941.81
1544,69949.38
1545,106945.164
1546,132549.58
1547,129721.82
1548,130453.41
1549,114237.31
1550,155143.45
1551,122762.055
1552,140279.6
1553,136890.39
1554,109834.97
1555,174202.9
1556,101890.54
1557,105445.984
1558,92709.67
1559,86298.81
1560,141322.66
1561,146081.52
1562,125911.66
1563,123131.64
1564,155528.62
1565,153210.58
1566,226180.17
1567,75270.51
1568,222195.02
1569,136858.92
1570,129658.125
1571,122131.48
1572,151863.53
1573,234456.31
1574,128542.79
1575,216804.6
1576,215769.95
1577,184743.78
1578,143238.28
1579,150413.8
1580,203125.95
1581,145257.17
1582,128896.07
1583,322286.78
1584,224657.94
1585,138677.14
1586,68662.086
1587,98784.61
1588,145079.67
1589,91901.41
1590,135483.05
1591,94918.45
1592,120698.24
1593,125261.54
1594,129251.82
1595,120266.555
1596,236946.88
1597,184888.31
1598,216141.3
1599,173082.31
1600,179189.81
1601,71512.64
1602,114022.79
1603,69907.1
1604,259434.86
1605,257171.03
1606,166934.89
1607,170956.23
1608,211906.98
1609,183812.34
1610,154237.06
1611,147407.78
1612,160687.53
1613,167297.64
1614,119143.805
1615,80533.13
1616,73808.516
1617,86974.74
1618,126588.305
1619,136604.78
1620,176677.25
1621,146683.34
1622,142256.34
1623,280680.8
1624,211185.33
1625,130812.58
1626,173334.38
1627,194979.69
1628,266661.25
1629,186641.28
1630,355771.7
1631,220985.2
1632,233919.84
1633,172175.84
1634,189829.4
1635,180161.89
1636,162606.33
1637,192635.89
1638,192777.23
1639,186000.89
1640,245807.72
1641,186896.34
1642,225238.67
1643,224318.83
1644,233288.05
1645,177579.81
1646,162443.72
1647,166441.45
1648,138738.27
1649,133168.16
1650,118021.414
1651,123523.76
1652,97439.05
1653,95145.4
1654,158367.78
1655,156800.78
1656,150965.2
1657,158710.55
1658,147939.0
1659,130908.664
1660,148559.23
1661,464888.06
1662,413989.0
1663,373704.84
1664,488611.2
1665,294685.28
1666,324983.7
1667,365449.94
1668,324723.12
1669,300080.16
1670,357101.44
1671,260228.28
1672,497253.2
1673,299144.7
1674,248933.27
1675,180057.8
1676,186590.72
1677,211402.16
1678,468999.2
1679,386774.7
1680,334040.0
1681,243264.36
1682,302077.44
1683,174935.94
1684,173476.1
1685,172500.44
1686,163502.78
